,"Delay ms",Level %,Pan %,F/B %,Speed,Depth %,Tap %,Mix %,Effect %,Direct %
4,112,85%,75%,0%,0,0%,100%,,,
5,300,40%,-100%,45%,0,0%,100%,,,
6,400,40%,100%,40%,0,0%,100%,,,
7,355,40%,-100%,40%,0,0%,100%,,,
8,455,40%,100%,35%,0,0%,100%,,,
131: Lead 4,,,,,,,,50%,85%,85%
1,36.1,100%,-100%,0%,0,0%,100%,,,
2,45,100%,100%,0%,0,0%,100%,,,
3,134,50%,0%,0%,0,0%,100%,,,
5,300,40%,-100%,25%,0,0%,100%,,,
6,400,40%,100%,20%,0,0%,100%,,,
7,355,40%,-100%,17%,0,0%,100%,,,
8,455,40%,100%,10%,0,0%,100%,,,
132: Lead 5,,,,,,,,50%,85%,85%
1,20.5,100%,-100%,0%,0,0%,100%,,,
2,37.7,100%,100%,0%,0,0%,100%,,,
3,96,45%,-50%,0%,0,0%,100%,,,
4,110,45%,50%,0%,0,0%,100%,,,
5,300,40%,-100%,45%,0,0%,100%,,,
6,400,40%,100%,40%,0,0%,100%,,,
7,355,40%,-100%,35%,0,0%,100%,,,
8,461,40%,100%,30%,0,0%,100%,,,
133: Lead 6,,,,,,,,50%,85%,85%
1,29.7,100%,-100%,0%,0,0%,100%,,,
2,40,100%,100%,0%,0,0%,100%,,,
3,96,60%,-50%,0%,0,0%,100%,,,
4,110,60%,50%,0%,0,0%,100%,,,
5,300,55%,-100%,45%,0,0%,100%,,,
6,400,55%,100%,40%,0,0%,100%,,,
7,355,55%,-100%,35%,0,0%,100%,,,
8,461,55%,100%,30%,0,0%,100%,,,
211: Lead 7,,,,,,,,50%,85%,85%
1,23.1,100%,-100%,0%,0,0%,100%,,,
2,33.1,100%,100%,0%,0,0%,100%,,,
4,110,75%,0%,0%,0,0%,100%,,,
5,300,50%,-100%,45%,0,0%,100%,,,
6,400,50%,100%,40%,0,0%,100%,,,
212: Lead 8,,,,,,,,50%,85%,85%
1,31.8,100%,-100%,0%,0,0%,100%,,,
2,42.1,100%,100%,0%,0,0%,100%,,,
3,95,60%,0%,0%,0,0%,100%,,,
7,333,45%,-100%,40%,0,0%,100%,,,
8,445,45%,100%,38%,0,0%,100%,,,
213: Lead 9,,,,,,,,50%,85%,85%
1,21.2,100%,-100%,0%,0,0%,100%,,,
2,32.1,100%,100%,0%,0,0%,100%,,,
5,300,40%,-100%,50%,0,0%,100%,,,
6,400,40%,100%,40%,0,0%,100%,,,
221: Swell 1,,,,,,,,60%,75%,50%
1,21.6,100%,-100%,0%,3.5,25%,100%,,,
2,29,100%,100%,0%,4,25%,100%,,,
3,350,100%,-100%,40%,4.2,25%,100%,,,
4,463,100%,100%,30%,3.7,25%,100%,,,
5,250,100%,-100%,54%,3.5,25%,100%,,,
6,347,100%,100%,42%,3.8,25%,100%,,,
7,300,100%,100%,58%,4.7,25%,100%,,,
8,400,100%,-100%,50%,3.3,25%,100%,,,
222: Swell 2,,,,,,,,100%,75%,0%
1,23.1,100%,-100%,0%,3.5,25%,100%,,,
2,33.6,100%,100%,0%,4,25%,100%,,,
3,43.3,100%,-100%,0%,4.2,25%,100%,,,
4,51.1,100%,100%,0%,3.7,25%,100%,,,
5,300,100%,-100%,60%,3.5,25%,100%,,,
6,400,100%,100%,52%,3.8,25%,100%,,,
7,345,100%,-100%,58%,4.7,25%,100%,,,
8,465,100%,100%,50%,3.3,25%,100%,,,
223: Stereo   ,,,,,,,,56%,100%,80%
1,5.3,70%,-100%,0%,0,0%,100%,,,
2,5.5,-100%,100%,0%,0,0%,100%,,,
5,250,37%,-100%,40%,0,0%,100%,,,
6,341,37%,100%,35%,0,0%,100%,,,
7,300,37%,-100%,40%,0,0%,100%,,,
8,400,37%,100%,35%,0,0%,100%,,,
231: Echo 1,,,,,,,,50%,85%,85%
5,321,55%,-100%,47%,3.7,23%,100%,,,
6,429,55%,100%,40%,4.1,23%,100%,,,
7,360,50%,0%,35%,4.6,23%,100%,,,
232: Echo 2,,,,,,,,50%,85%,85%
5,300,55%,-100%,45%,4.5,20%,100%,,,
6,400,55%,100%,37%,5.4,20%,100%,,,
7,355,55%,-100%,35%,3.9,20%,100%,,,
8,461,55%,100%,27%,3.4,20%,100%,,,
233: Echo 3,,,,,,,,50%,85%,85%
5,250,50%,-100%,45%,3.5,20%,100%,,,
6,330,50%,100%,40%,4.1,20%,100%,,,
7,300,50%,-100%,35%,3.1,20%,100%,,,
8,401,50%,100%,30%,4.5,20%,100%,,,
